OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
"81",Indonesia,"1622755433000",-0.7893,113.9213,"1837126","51095","1691593","94438"
"82",Iran,"1622755433000",32.427908,53.688046,"2945100","80658","2508907","355535"
"83",Iraq,"1622755433000",33.223191,43.679291,"1214367","16462","1129221","68684"
"84",Ireland,"1622755433000",53.1424,-7.6921,"263252","4941","23364","234947"
"85",Israel,"1622755433000",31.046051,34.851612,"839532","6416","832812","304"
"86",Italy,"1622755433000",41.8719,12.5674,"4225163","126342","3893259","205562"
"87",Jamaica,"1622755433000",18.1096,-77.2975,"48638","951","25485","22202"
"88",Japan,"1622755433000",36.204824,138.252924,"755695","13331","690467","51897"
"89",Jordan,"1622755433000",31.24,36.51,"738521","9500","719049","9972"
"90",Kazakhstan,"1622755433000",48.0196,66.9237,"445853","3460","413475","28918"
"91",Kenya,"1622755433000",-0.0236,37.9062,"171658","3223","117345","51090"
"92",Kiribati,"1622755433000",-3.3704,-168.734,"2","0",,"2"
"93","Korea, South","1622755433000",35.907757,127.766922,"142157","1968","132699","7490"
"94",Kosovo,"1622755433000",42.602636,20.902977,"107051","2248","103348","1455"
"95",Kuwait,"1622755433000",29.31166,47.481766,"313289","1783","297329","14177"
"96",Kyrgyzstan,"1622755433000",41.20438,74.766098,"105840","1830","99474","4536"
"97",Laos,"1622755433000",19.85627,102.495496,"1943","3","1654","286"
"98",Latvia,"1622755433000",56.8796,24.6032,"134162","2392","126999","4771"
"99",Lebanon,"1622755433000",33.8547,35.8623,"540844","7740","520717","12387"
"100",Lesotho,"1622755433000",-29.61,28.2336,"10831","326","6434","4071"
"101",Liberia,"1622755433000",6.428055,-9.429499,"2219","86","2044","89"
"102",Libya,"1622755433000",26.3351,17.228331,"186567","3132","172637","10798"
"103",Liechtenstein,"1622755433000",47.14,9.55,"3017","58","2934","25"
"104",Lithuania,"1622755433000",55.1694,23.8813,"275545","4289","257675","13581"
"105",Luxembourg,"1622755433000",49.8153,6.1296,"70088","818","68484","786"
"106",MS Zaandam,"1622755433000",,,"9","2","7","0"
"107",Madagascar,"1622755433000",-18.766947,46.869107,"41488","850","40774","-136"
"108",Malawi,"1622755433000",-13.2543,34.3015,"34360","1156","32629","575"
"109",Malaysia,"1622755433000",4.210484,101.975766,"595374","3096","508947","83331"
"110",Maldives,"1622755433000",3.2028,73.2207,"66516","173","43959","22384"
"111",Mali,"1622755433000",17.570692,-3.996166,"14281","517","9740","4024"
"112",Malta,"1622755433000",35.9375,14.3754,"30557","419","30062","76"
"113",Marshall Islands,"1622755433000",7.1315,171.1845,"4","0","4","0"
"114",Mauritania,"1622755433000",21.0079,-10.9408,"19650","464","18614","572"
"115",Mauritius,"1622755433000",-20.348404,57.552152,"1421","18","1198","205"
"116",Mexico,"1622755433000",23.6345,-102.5528,"2423928","228146","1932457","263325"
"117",Micronesia,"1622755433000",7.4256,150.5508,"1","0","1","0"
"118",Moldova,"1622755433000",47.4116,28.3699,"255354","6125","247830","1399"
"119",Monaco,"1622755433000",43.7333,7.4167,"2508","33","2468","7"
"120",Mongolia,"1622755433000",46.8625,103.8467,"61396","288","51983","9125"
"121",Montenegro,"1622755433000",42.708678,19.37439,"99717","1587","97429","701"
"122",Morocco,"1622755433000",31.7917,-7.0926,"520423","9165","508210","3048"
"123",Mozambique,"1622755433000",-18.665695,35.529562,"70965","837","69641","487"
"124",Namibia,"1622755433000",-22.9576,18.4904,"56981","877","51177","4927"
"125",Nepal,"1622755433000",28.1667,84.25,"576936","7630","467467","101839"
"126",Netherlands,"1622755433000",52.3167,5.55,"1684344","17932","26887","1639525"
"127",New Zealand,"1622755433000",-40.9006,174.886,"2681","26","2638","17"
"128",Nicaragua,"1622755433000",12.865416,-85.207229,"7481","187","4225","3069"
"129",Niger,"1622755433000",17.607789,8.081666,"5416","192","5096","128"
"130",Nigeria,"1622755433000",9.082,8.6753,"166560","2099","159946","4515"
"131",North Macedonia,"1622755433000",41.6086,21.7453,"155364","5435","148872","1057"
"132",Norway,"1622755433000",60.472,8.4689,"126058","785","17998","107275"
"133",Oman,"1622755433000",21.512583,55.923255,"220702","2385","202021","16296"
"134",Pakistan,"1622755433000",30.3753,69.3451,"926695","21022","852574","53099"
"135",Panama,"1622755433000",8.538,-80.7821,"379506","6381","366508","6617"
"136",Papua New Guinea,"1622755433000",-6.314993,143.95555,"16185","162","15408","615"
"137",Paraguay,"1622755433000",-23.4425,-58.4438,"361440","9396","297292","54752"
"138",Peru,"1622755433000",-9.19,-75.0152,"1955469","69342","1918756","-138266"
"139",Philippines,"1622755433000",12.879721,121.774017,"1247899","21357","1170752","55790"
"140",Poland,"1622755433000",51.9194,19.1451,"2874092","74075","2642127","157890"
